language,query_type,method,n,hit_at_1,hit_at_5,hit_at_10,recall_at_1,recall_at_5,recall_at_10,mrr_at_10,ndcg_at_10
all,all,baseline,4344,0.5308471454880295,0.7826887661141805,0.8646408839779005,0.48274248004910986,0.7471378146101904,0.8350214855739717,0.6371890438188781,0.6727695674014555
all,all,jev,4344,0.5872467771639043,0.8303406998158379,0.8646408839779005,0.535432013505218,0.7940991405770411,0.8350214855739717,0.6884446527229676,0.7114278344086415
all,all,voyage,4344,0.7180018416206262,0.8531307550644567,0.8646408839779005,0.6573434622467772,0.8187308164518109,0.8350214855739717,0.7754428659124791,0.7755450207273521
all,simple,baseline,1910,0.5214659685863874,0.7675392670157068,0.8502617801047121,0.5214659685863874,0.7675392670157068,0.8502617801047121,0.6256261946314302,0.6795266338459509
all,simple,jev,1910,0.6026178010471204,0.8272251308900523,0.8502617801047121,0.6026178010471204,0.8272251308900523,0.8502617801047121,0.6955815258040389,0.7339674859161842
all,simple,voyage,1910,0.7026178010471205,0.8397905759162304,0.8502617801047121,0.7026178010471205,0.8397905759162304,0.8502617801047121,0.7605914983794565,0.783027636396628
all,complex,baseline,1852,0.5151187904967602,0.765658747300216,0.8509719222462203,0.5151187904967602,0.765658747300216,0.8509719222462203,0.6217349754876753,0.6767675819685409
all,complex,jev,1852,0.5496760259179265,0.8072354211663066,0.8509719222462203,0.5496760259179265,0.8072354211663066,0.8509719222462203,0.6571464997085947,0.704739960794314
all,complex,voyage,1852,0.7176025917926566,0.8396328293736501,0.8509719222462203,0.7176025917926566,0.8396328293736501,0.8509719222462203,0.7698772669615003,0.7901199395655264
all,multi_hop,baseline,582,0.6116838487972509,0.8865979381443299,0.9553264604810997,0.25263459335624283,0.6212485681557847,0.7342497136311569,0.7243127147766323,0.6378721105505484
all,multi_hop,jev,582,0.6563573883161512,0.9140893470790378,0.9553264604810997,0.26961626575028635,0.6435853379152349,0.7342497136311569,0.7646177657775596,0.6587391875947722
all,multi_hop,voyage,582,0.7697594501718213,0.9398625429553265,0.9553264604810997,0.3170103092783505,0.6831042382588774,0.7342497136311569,0.8418923525882289,0.7046093753379776
zh,all,baseline,2172,0.5308471454880295,0.7826887661141805,0.8646408839779005,0.48274248004910986,0.7471378146101904,0.8350214855739717,0.6371890438188781,0.6727695674014555
zh,all,jev,2172,0.5860957642725598,0.8296500920810314,0.8646408839779005,0.5350521792510743,0.7930171884591775,0.8350214855739717,0.6885401137127657,0.711871613565666
zh,all,voyage,2172,0.7173112338858195,0.8549723756906077,0.8646408839779005,0.6572360343769184,0.821109576427256,0.8350214855739717,0.7766307842965302,0.7768254154266641
zh,simple,baseline,955,0.5214659685863874,0.7675392670157068,0.8502617801047121,0.5214659685863874,0.7675392670157068,0.8502617801047121,0.6256261946314302,0.6795266338459509
